Nombre,Avg_viewers,Time_streamed,All_time_peak_viewers,Hours_watched,Rank,Followers_gained,Total_followers,Total_views,Enlace
Melvycoral,90.0,174.4,727.0,15800.0,16082,386.0,12800.0,0.0,https://twitchtracker.com/melvycoral
Buggax,163.0,71.0,1887.0,11600.0,16102,392.0,45700.0,669000.0,https://twitchtracker.com/buggax
Holdemhammers,172.0,64.1,9569.0,11000.0,16108,53.0,78000.0,3870000.0,https://twitchtracker.com/holdemhammers
Itsrealmusic,240.0,29.7,1643.0,7100.0,16113,-289.0,6300.0,0.0,https://twitchtracker.com/itsrealmusic
Erboldigital,38.0,487.6,398.0,18700.0,16130,4.0,76.0,0.0,https://twitchtracker.com/erboldigital
Eminatr1x,113.0,127.6,1027.0,14400.0,16139,47.0,14700.0,0.0,https://twitchtracker.com/eminatr1x
Steveenriquez,192.0,51.0,2821.0,9800.0,16152,213.0,19100.0,0.0,https://twitchtracker.com/steveenriquez
Kikorivera,236.0,30.9,29911.0,7300.0,16154,-229.0,185000.0,6570000.0,https://twitchtracker.com/kikorivera
Shakotsu_vt,150.0,81.2,4539.0,12200.0,16166,1200.0,52600.0,0.0,https://twitchtracker.com/shakotsu_vt
Andreh,221.0,36.7,3247.0,8100.0,16177,616.0,131000.0,0.0,https://twitchtracker.com/andreh
Missing,96.0,159.5,2326.0,15300.0,16187,212.0,2900.0,0.0,https://twitchtracker.com/missing
Jenniferleedj,150.0,80.8,8668.0,12200.0,16193,199.0,31500.0,0.0,https://twitchtracker.com/jenniferleedj
Luuucila,174.0,61.7,1570.0,10800.0,16208,378.0,28600.0,0.0,https://twitchtracker.com/luuucila
Pandatvmx,105.0,140.7,1521.0,14700.0,16217,596.0,33500.0,0.0,https://twitchtracker.com/pandatvmx
Mintydewvt,191.0,51.1,383.0,9700.0,16237,1000.0,8600.0,0.0,https://twitchtracker.com/mintydewvt
Tanchancicuta,111.0,128.8,7923.0,14300.0,16285,-33.0,55600.0,6580000.0,https://twitchtracker.com/tanchancicuta
Zogorotv,169.0,64.7,4720.0,10900.0,16293,81.0,262000.0,1980000.0,https://twitchtracker.com/zogorotv
Apiconp4stel,154.0,76.6,356.0,11800.0,16296,319.0,18100.0,0.0,https://twitchtracker.com/apiconp4stel
Donquijotedlc,254.0,23.8,1220.0,6000.0,16302,337.0,4700.0,0.0,https://twitchtracker.com/donquijotedlc
Ag_deivi,119.0,116.0,2052.0,13800.0,16304,152.0,8600.0,0.0,https://twitchtracker.com/ag_deivi
Vortix93,161.0,70.0,1461.0,11300.0,16357,208.0,13000.0,0.0,https://twitchtracker.com/vortix93
Lazaplays,123.0,109.7,7687.0,13500.0,16362,-15.0,89200.0,8870000.0,https://twitchtracker.com/lazaplays
Soyblecus,250.0,24.7,8804.0,6200.0,16373,2500.0,68100.0,0.0,https://twitchtracker.com/soyblecus
Burrito,105.0,137.3,4639.0,14400.0,16401,187.0,8300.0,0.0,https://twitchtracker.com/burrito
Nicov_,188.0,51.2,2482.0,9600.0,16432,144.0,48000.0,1570000.0,https://twitchtracker.com/nicov_
Moonlightdelia,121.0,111.6,613.0,13500.0,16435,1500.0,10600.0,0.0,https://twitchtracker.com/moonlightdelia
Zothve,243.0,26.6,6159.0,6400.0,16460,109.0,31500.0,0.0,https://twitchtracker.com/zothve
Navass010,243.0,26.5,1086.0,6400.0,16465,1300.0,5800.0,0.0,https://twitchtracker.com/navass010
Mrstreamerfav,27.0,700.3,204.0,18800.0,16466,498.0,33200.0,0.0,https://twitchtracker.com/mrstreamerfav
Harryalexok,169.0,63.2,13780.0,10700.0,16471,1500.0,211000.0,0.0,https://twitchtracker.com/harryalexok
Nanowfps,67.0,245.8,3534.0,16500.0,16478,963.0,16300.0,0.0,https://twitchtracker.com/nanowfps
